"niveaux";"trimestres";"label";"date";"first_date";"Etat";"Part des articles"
"4ème";"3ème trimestre";"4ème - 3ème trimestre";2021-03-01;2011-09-01;"Conservé";0,267979761474521
"4ème";"3ème trimestre";"4ème - 3ème trimestre";2021-03-01;2011-09-01;"Modifié";0,260390314419949
"4ème";"3ème trimestre";"4ème - 3ème trimestre";2021-03-01;2011-09-01;"Supprimé";0,103722443079147
"4ème";"3ème trimestre";"4ème - 3ème trimestre";2021-03-01;2011-09-01;"Ajouté";0,367907481026382
"4ème";"grandes vacances";"4ème - grandes vacances";2021-06-01;2011-09-01;"Conservé";0,267328519855596
"4ème";"grandes vacances";"4ème - grandes vacances";2021-06-01;2011-09-01;"Modifié";0,260469314079422
"4ème";"grandes vacances";"4ème - grandes vacances";2021-06-01;2011-09-01;"Supprimé";0,103610108303249
"4ème";"grandes vacances";"4ème - grandes vacances";2021-06-01;2011-09-01;"Ajouté";0,368592057761733
"3ème";"1er trimestre";"3ème - 1er trimestre";2021-09-01;2011-09-01;"Conservé";0,262504498020871
"3ème";"1er trimestre";"3ème - 1er trimestre";2021-09-01;2011-09-01;"Modifié";0,263404102195034
"3ème";"1er trimestre";"3ème - 1er trimestre";2021-09-01;2011-09-01;"Supprimé";0,103454480028787
"3ème";"1er trimestre";"3ème - 1er trimestre";2021-09-01;2011-09-01;"Ajouté";0,370636919755308
"3ème";"2ème trimestre";"3ème - 2ème trimestre";2021-12-01;2011-09-01;"Conservé";0,261844938980617
"3ème";"2ème trimestre";"3ème - 2ème trimestre";2021-12-01;2011-09-01;"Modifié";0,262742282842785
"3ème";"2ème trimestre";"3ème - 2ème trimestre";2021-12-01;2011-09-01;"Supprimé";0,104450825556353
"3ème";"2ème trimestre";"3ème - 2ème trimestre";2021-12-01;2011-09-01;"Ajouté";0,370961952620244
"3ème";"3ème trimestre";"3ème - 3ème trimestre";2022-03-01;2011-09-01;"Conservé";0,218227848101266
"3ème";"3ème trimestre";"3ème - 3ème trimestre";2022-03-01;2011-09-01;"Modifié";0,24
"3ème";"3ème trimestre";"3ème - 3ème trimestre";2022-03-01;2011-09-01;"Supprimé";0,155274261603376
"3ème";"3ème trimestre";"3ème - 3ème trimestre";2022-03-01;2011-09-01;"Ajouté";0,386497890295359
"3ème";"grandes vacances";"3ème - grandes vacances";2022-06-01;2011-09-01;"Conservé";0,216658236385095
"3ème";"grandes vacances";"3ème - grandes vacances";2022-06-01;2011-09-01;"Modifié";0,241106052942168
"3ème";"grandes vacances";"3ème - grandes vacances";2022-06-01;2011-09-01;"Supprimé";0,155454392176699
"3ème";"grandes vacances";"3ème - grandes vacances";2022-06-01;2011-09-01;"Ajouté";0,386781318496038
"Seconde";"1er trimestre";"Seconde - 1er trimestre";2022-09-01;2011-09-01;"Conservé";0,21346993617736
"Seconde";"1er trimestre";"Seconde - 1er trimestre";2022-09-01;2011-09-01;"Modifié";0,242190124286194
"Seconde";"1er trimestre";"Seconde - 1er trimestre";2022-09-01;2011-09-01;"Supprimé";0,155189788377561
"Seconde";"1er trimestre";"Seconde - 1er trimestre";2022-09-01;2011-09-01;"Ajouté";0,389150151158885
"Seconde";"2ème trimestre";"Seconde - 2ème trimestre";2022-12-01;2011-09-01;"Conservé";0,213134027544508
"Seconde";"2ème trimestre";"Seconde - 2ème trimestre";2022-12-01;2011-09-01;"Modifié";0,242526032919046
"Seconde";"2ème trimestre";"Seconde - 2ème trimestre";2022-12-01;2011-09-01;"Supprimé";0,155189788377561
"Seconde";"2ème trimestre";"Seconde - 2ème trimestre";2022-12-01;2011-09-01;"Ajouté";0,389150151158885
"Seconde";"3ème trimestre";"Seconde - 3ème trimestre";2023-03-01;2011-09-01;"Conservé";0,212156731413262
"Seconde";"3ème trimestre";"Seconde - 3ème trimestre";2023-03-01;2011-09-01;"Modifié";0,24146014735432
"Seconde";"3ème trimestre";"Seconde - 3ème trimestre";2023-03-01;2011-09-01;"Supprimé";0,156229068988614
"Seconde";"3ème trimestre";"Seconde - 3ème trimestre";2023-03-01;2011-09-01;"Ajouté";0,390154052243804
"Seconde";"grandes vacances";"Seconde - grandes vacances";2023-06-01;2011-09-01;"Conservé";0,208611481975968
"Seconde";"grandes vacances";"Seconde - grandes vacances";2023-06-01;2011-09-01;"Modifié";0,242990654205607
"Seconde";"grandes vacances";"Seconde - grandes vacances";2023-06-01;2011-09-01;"Supprimé";0,156375166889186
"Seconde";"grandes vacances";"Seconde - grandes vacances";2023-06-01;2011-09-01;"Ajouté";0,392022696929239
"Première";"1er trimestre";"Première - 1er trimestre";2023-09-01;2011-09-01;"Conservé";0,204488778054863
"Première";"1er trimestre";"Première - 1er trimestre";2023-09-01;2011-09-01;"Modifié";0,245220282626766
"Première";"1er trimestre";"Première - 1er trimestre";2023-09-01;2011-09-01;"Supprimé";0,157772236076475
"Première";"1er trimestre";"Première - 1er trimestre";2023-09-01;2011-09-01;"Ajouté";0,392518703241895
"Première";"2ème trimestre";"Première - 2ème trimestre";2023-12-01;2011-09-01;"Conservé";0,202489626556017
"Première";"2ème trimestre";"Première - 2ème trimestre";2023-12-01;2011-09-01;"Modifié";0,246473029045643
"Première";"2ème trimestre";"Première - 2ème trimestre";2023-12-01;2011-09-01;"Supprimé";0,157676348547718
"Première";"2ème trimestre";"Première - 2ème trimestre";2023-12-01;2011-09-01;"Ajouté";0,393360995850622
"Première";"3ème trimestre";"Première - 3ème trimestre";2024-03-01;2011-09-01;"Conservé";0,201293317857735
"Première";"3ème trimestre";"Première - 3ème trimestre";2024-03-01;2011-09-01;"Modifié";0,246062012933179
"Première";"3ème trimestre";"Première - 3ème trimestre";2024-03-01;2011-09-01;"Supprimé";0,158514342563422
"Première";"3ème trimestre";"Première - 3ème trimestre";2024-03-01;2011-09-01;"Ajouté";0,394130326645664
"Première";"grandes vacances";"Première - grandes vacances";2024-06-01;2011-09-01;"Conservé";0,20115990057995
"Première";"grandes vacances";"Première - grandes vacances";2024-06-01;2011-09-01;"Modifié";0,245733222866611
"Première";"grandes vacances";"Première - grandes vacances";2024-06-01;2011-09-01;"Supprimé";0,15857497928749
"Première";"grandes vacances";"Première - grandes vacances";2024-06-01;2011-09-01;"Ajouté";0,394531897265949
"Terminale";"1er trimestre";"Terminale - 1er trimestre";2024-09-01;2011-09-01;"Conservé";0,196363636363636
"Terminale";"1er trimestre";"Terminale - 1er trimestre";2024-09-01;2011-09-01;"Modifié";0,247272727272727
"Terminale";"1er trimestre";"Terminale - 1er trimestre";2024-09-01;2011-09-01;"Supprimé";0,161652892561983
"Terminale";"1er trimestre";"Terminale - 1er trimestre";2024-09-01;2011-09-01;"Ajouté";0,394710743801653
"Terminale";"2ème trimestre";"Terminale - 2ème trimestre";2024-12-01;2011-09-01;"Conservé";0,196331184928111
"Terminale";"2ème trimestre";"Terminale - 2ème trimestre";2024-12-01;2011-09-01;"Modifié";0,247231862502066
"Terminale";"2ème trimestre";"Terminale - 2ème trimestre";2024-12-01;2011-09-01;"Supprimé";0,161626177491324
"Terminale";"2ème trimestre";"Terminale - 2ème trimestre";2024-12-01;2011-09-01;"Ajouté";0,394810775078499
"Terminale";"3ème trimestre";"Terminale - 3ème trimestre";2025-03-01;2011-09-01;"Conservé";0,19550858652576
"Terminale";"3ème trimestre";"Terminale - 3ème trimestre";2025-03-01;2011-09-01;"Modifié";0,247688243064729
"Terminale";"3ème trimestre";"Terminale - 3ème trimestre";2025-03-01;2011-09-01;"Supprimé";0,166941875825627
"Terminale";"3ème trimestre";"Terminale - 3ème trimestre";2025-03-01;2011-09-01;"Ajouté";0,389861294583884
"Terminale";"grandes vacances";"Terminale - grandes vacances";2025-06-01;2011-09-01;"Conservé";0,194458189015339
"Terminale";"grandes vacances";"Terminale - grandes vacances";2025-06-01;2011-09-01;"Modifié";0,24822695035461
"Terminale";"grandes vacances";"Terminale - grandes vacances";2025-06-01;2011-09-01;"Supprimé";0,166749134092034
"Terminale";"grandes vacances";"Terminale - grandes vacances";2025-06-01;2011-09-01;"Ajouté";0,390565726538017
